There are   5036 grains.
Grainsize GrainFarea  GrainFeqR GrainFeqD GrainFsf GrainFfitEangle GrainFfitElongA GrainFfitEshortb GrainFasp
      2.00     3.541667   1.061766   2.123532   1.117097   2.233772   1.222977   0.921806   0.753739
    273.00   279.375000   9.430155  18.860310   1.489643 175.098642  13.947301   6.375988   0.457149
     88.00    91.750000   5.404159  10.808318   1.422861 122.380452   7.297457   4.002070   0.548420
    128.00   132.458333   6.493289  12.986577   1.415571 148.280502   7.751503   5.439306   0.701710
     31.00    32.250000   3.203981   6.407962   1.522852 178.528583   3.992157   2.571415   0.644117
    290.00   299.625000   9.765941  19.531882   1.348498 170.513186  12.822844   7.437788   0.580042
     79.00    80.750000   5.069864  10.139728   1.464668 126.365001   6.165253   4.169095   0.676224
     85.00    92.125000   5.415191  10.830383   1.376824 174.349939   6.753107   4.342342   0.643014
     16.00    17.000000   2.326213   4.652426   1.248126 107.752225   2.567835   2.107327   0.820663
      2.00     3.000000   0.977205   1.954410   1.112129  88.538763   1.184417   0.806244   0.680710
     80.00    88.041667   5.293820  10.587641   1.319068  99.341921   6.340159   4.420163   0.697169
     88.00    92.000000   5.411516  10.823033   1.837718  98.657619   7.632482   3.836827   0.502697
     92.00    94.250000   5.477290  10.954580   1.379791 110.760921   6.221562   4.822053   0.775055
      8.00     8.500000   1.644881   3.289762   1.297929  70.016568   1.872280   1.445101   0.771840
     46.00    48.250000   3.918986   7.837972   1.383669 145.326633   4.534566   3.386973   0.746923
     59.00    63.166667   4.484036   8.968071   1.229673 111.484285   5.417319   3.711536   0.685124
     58.00    63.000000   4.478116   8.956232   1.489133 134.344872   5.793142   3.461597   0.597534
      7.00     8.791667   1.672864   3.345728   1.214474 171.834021   2.083597   1.343098   0.644606
     18.00    22.125000   2.653791   5.307582   1.283188 123.351509   3.294523   2.137671   0.648856
    266.00   273.791667   9.335448  18.670897   1.524524 149.077809  12.619851   6.905834   0.547220
     19.00    19.750000   2.507313   5.014627   1.385588 163.404456   3.291823   1.909769   0.580155
      8.00     8.000000   1.595769   3.191538   1.595769  15.714783   2.090244   1.218269   0.582836
     25.00    28.250000   2.998709   5.997418   1.246469 170.943157   3.642659   2.468596   0.677691
     27.00    28.250000   2.998709   5.997418   1.233591   3.718115   3.452679   2.604428   0.754321
    210.00   216.000000   8.291860  16.583719   1.494733 115.651367   8.817599   7.797467   0.884307
