Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain	Grain ID
51	Aluminium	37	6.8637	3	210.89	4.30	1.5893	114.4	1.05	2.19	185.22	28.23	22.77	True	no	50
52	Aluminium	68	9.3049	4	214.12	8.79	1.734	82.789	0.57	1.37	184.92	27.66	23.81	True	no	51
53	Aluminium	98	11.17	5	13.10	8.88	1.6654	85.814	0.81	2.71	10.48	29.90	9.34	True	no	52
54	Aluminium	14	4.222	3	110.43	4.50	2.1626	99.197	1.79	2.48	160.81	35.52	2.74	True	no	53
55	Aluminium	48	7.8176	3	225.50	5.92	1.1901	9.1743	0.59	1.21	205.63	39.51	81.42	True	no	54
56	Aluminium	79	10.029	5	231.01	10.30	3.4898	74.981	0.63	1.36	268.05	16.95	88.84	True	no	55
57	Aluminium	35	6.6756	5	237.31	5.63	1.3578	76.517	0.52	1.14	97.90	6.05	65.66	True	no	56
58	Aluminium	15	4.3702	4	268.93	4.80	2.2437	96.397	0.44	0.80	226.01	27.39	49.18	True	no	57
59	Aluminium	43	7.3993	2	304.70	6.86	2.437	56.181	2.23	4.17	266.79	20.30	88.45	True	no	58
60	Aluminium	15	4.3702	2	60.67	4.93	1.1273	96.696	1.26	2.19	125.86	40.09	26.49	True	no	59
61	Aluminium	30	6.1804	2	61.57	7.30	1.5473	43.461	1.57	3.52	128.66	38.72	23.86	True	no	60
62	Aluminium	156	14.093	8	85.08	12.82	1.5377	122.73	1.18	2.93	351.01	46.27	27.01	True	no	61
63	Aluminium	70	9.4407	6	96.24	7.60	1.1267	90.402	1.00	2.94	90.55	35.43	7.30	True	no	62
64	Aluminium	29	6.0765	1	139.76	7.14	1.5616	86.719	0.75	1.60	150.49	45.04	78.50	True	no	63
65	Aluminium	18	4.7873	3	175.89	4.50	1.3504	169.28	0.46	0.96	309.68	19.03	22.63	True	no	64
66	Aluminium	42	7.3127	4	188.48	6.95	1.1445	173.74	0.98	2.03	115.81	45.60	17.01	True	no	65
67	Aluminium	18	4.7873	4	204.78	4.83	1.442	121.65	0.47	1.62	147.32	42.40	77.45	True	no	66
68	Aluminium	35	6.6756	3	265.54	6.17	1.5703	112.76	0.70	2.48	19.99	24.19	85.27	True	no	67
69	Aluminium	12	3.9088	2	328.00	5.50	2.416	113.42	0.48	0.97	73.14	10.84	86.18	True	no	68
70	Aluminium	108	11.726	5	70.52	11.19	1.3864	69.504	1.09	2.24	252.90	27.11	31.65	True	no	69
71	Aluminium	54	8.2919	4	76.46	10.52	3.7349	80.112	0.99	1.83	250.78	27.21	32.82	True	no	70
72	Aluminium	12	3.9088	3	107.92	6.75	2.8877	93.181	0.59	1.05	142.86	17.37	52.23	True	no	71
73	Aluminium	16	4.5135	3	112.56	7.50	2.308	93.389	1.36	3.25	158.20	35.28	6.47	True	no	72
74	Aluminium	10	3.5682	1	136.10	6.00	1.6903	90	0.68	1.47	98.16	42.53	83.69	True	no	73
75	Aluminium	12	3.9088	1	183.00	5.75	1.8399	110.05	0.65	1.88	185.47	28.58	75.19	True	no	74
76	Aluminium	14	4.222	2	201.43	6.43	1.339	65.015	0.41	0.73	300.94	32.28	9.87	True	no	75
77	Aluminium	14	4.222	3	330.57	6.00	1.899	90	0.60	1.22	74.85	11.66	84.82	True	no	76
78	Aluminium	20	5.0463	3	389.20	5.95	1.3348	140.88	0.66	1.18	142.87	45.93	40.89	True	no	77
79	Aluminium	16	4.5135	1	19.88	6.75	1.6523	169.21	2.13	5.15	162.53	34.01	72.13	True	no	78
80	Aluminium	10	3.5682	3	241.60	7.60	2.8664	96.825	0.46	0.74	301.44	9.31	55.63	True	no	79
81	Aluminium	317	20.09	10	259.34	18.03	1.4921	115.38	0.74	2.27	332.49	24.26	13.70	True	no	80
82	Aluminium	55	8.3683	4	324.53	9.84	1.2638	122.27	0.82	2.15	110.24	6.78	71.50	True	no	81
83	Aluminium	71	9.5079	4	341.69	11.62	1.881	106.56	0.47	1.22	178.47	34.72	54.75	True	no	82
84	Aluminium	75	9.772	3	30.63	10.95	1.4288	114.02	1.38	2.94	297.56	15.88	33.31	True	no	83
85	Aluminium	11	3.7424	2	39.82	8.09	2.2685	123.02	0.73	1.83	132.62	27.00	30.92	True	no	84
86	Aluminium	17	4.6524	3	100.88	9.41	2.8548	79.378	0.83	2.01	89.15	37.43	9.19	True	no	85
87	Aluminium	26	5.7536	4	105.27	8.65	1.2526	73.826	0.93	2.04	138.90	17.37	56.49	True	no	86
88	Aluminium	17	4.6524	2	332.71	8.47	1.7651	62.824	0.63	1.47	192.48	46.13	69.89	True	no	87
